prompt_name,version,classification,summary,file
"Career Transition Announcement Builder","1.4.1","Other / Job search","Strategic 90-day network loop using JD-mapping and disclosure protection.","Career Transition Announcement Builder.md"
"Commute Tolerance & Work Arrangement Interview Engine","1.0.3","Interview prep","STATEMENT Extract precise commuting constraints, hybrid preferences, and geographic boundaries from the candidate. Output is structured for clean integration into the master career profile summary.","Commute Tolerance & Work Arrangement Interview Engine.md"
"Company Technical Intelligence Engine","1.3.2","Other / Job search","","Company Technical Intelligence Engine.md"
"Competency Signal Fit Engine","1.4.2","Other / Job search","# RELEASE DATE: 2026-05-30 # AUTHOR: Scott Malin, CISSP # Note: This started with the idea to look at a posting or applicant like a character sheet in an RPG. I wondered if we could get any different insight looking at them in a different way? # PURPOSE: Trans","Competency Signal Fit Engine.md"
"Contacts Collector","1.4.1","Other / Job search","Enforce robust state management, hallucination checks, and strict error handling during reference data collection workflows.","Contacts Collector.md"
"Cover Letter Quality Reviewer – Green Flag Edition","UNKNOWN","Resume tools","Evaluate a cover letter against recruiter-validated “green flag” criteria to identify strengths, weaknesses, realism gaps, recruiter risk factors, and ATS alignment issues. Produce:","Cover Letter Quality Reviewer – Green Flag Edition.md"
"Customizable Job Scanner","2.0.1","Other / Job search","","Customizable Job Scanner.md"
"Daily Momentum Engine","1.4.2","Other / Job search","============================================================ The Daily Momentum Engine (DME) is an operational framework designed to maintain strategic consistency and psychological","Daily Momentum Engine.md"
"Dead Job Posting Recovery Engine","1.4.1","Other / Job search","","Dead Job Posting Recovery Engine.md"
"Elevator Pitch Generator","2.1.2.","Other / Job search","","Elevator Pitch Generator.md"
"First-Pass Impact Optimizer","1.5.1","Other / Job search","============================================================ Analyze a resume for ATS compatibility and human scannability (6-10 second rule). Focus on: Structure, visual hierarchy, and formatting.","First-Pass Impact Optimizer.md"
"Gatekeeper - pre-interview communication","UNKNOWN","Interview prep","This prompt generates ""PlainTalk"" emails for recruiters or HR partners to be sent 24 hours before a screening call. The goal is to signal ""Low-Risk/High-Alignment"" by explicitly checking their internal boxes (Certs, Years, Core Tools) before the call starts.","Gatekeeper - pre-interview communication.md"
"Gemini Workspace Interview Architect","1.3.1","Interview prep","] Enforce rigorous state management, hallucination checks, error handling, and structured formatting for automated Google Workspace calendar and keep note generation.","Gemini Workspace Interview Architect.md"
"Hiring Intent Intelligence Engine","UNKNOWN","Other / Job search","# VERSION: 1.6.0 # AUTHOR: Scott Malin, CISSP # LAST UPDATED: 2026-09-20 ## PURPOSE The Hiring Intent Intelligence Engine (HIIE) analyzes job postings to determine explicit employer requests alongside underlying organizational needs, business drivers, operatio","Hiring Intent Intelligence Engine.md"
"Hiring Manager Detective","1.9.3","Other / Job search","","Hiring Manager Detective.md"
"Hiring Manager KPI Mapper","1.1.1","Other / Job search","To map the high-stakes reality of a specific hiring manager. This tool moves past generic job descriptions to identify the *actual* pressures, metrics, and bottlenecks driving hiring decisions.","Hiring Manager KPI Mapper.md"
"Hiring Manager Outreach Engine","1.1.3","Other / Job search","Generate short, human-sounding outreach messages for hiring managers, team leads, recruiters, or technical leaders related to active job opportunities.","Hiring Manager Outreach Engine.md"
"Hiring manager response decoder","1.7.1","Other / Job search","","Hiring manager response decoder.md"
"INTERVIEW PRESSURE SIMULATOR","UNKNOWN","Interview prep","","INTERVIEW PRESSURE SIMULATOR.md"
"Interview Confidence & Fit Prompt","1.8.1","Interview prep","","Interview Confidence & Fit Prompt.md"
"Interview Intelligence Engine","1.1.1","Interview prep","v1.1.0 (2026-02): Initial skills.md aware version. ============================================================ PURPOSE Act as an interactive, encouraging interview coach tailored to the user's career (especially cybersecurity, endpoint security, Zero Trust, a","Interview Intelligence Engine.md"
"Interview Prep – Company Values Intelligence Engine","UNKNOWN","Interview prep","============================================================ Help job seekers understand the reality behind company values,","Interview Prep – Company Values Intelligence Engine.md"
"Interviewer Intelligence Engine","1.2.0","Interview prep","Analyzes a job posting, interviewer identity information, and candidate career data to generate interviewer-aware interview preparation insights designed to improve technical alignment, communication calibration, stakeholder awareness, and interview","Interviewer Intelligence Engine.md"
"JSON → Canonical Markdown Profile Generator","UNKNOWN","Other / Job search","Convert raw LinkedIn JSON export files into a deterministic, structurally rigid Markdown profile for reuse in downstream AI prompts.","JSON → Canonical Markdown Profile Generator.md"
"Job Posting Intelligence Engine - JSON Branch","UNKNOWN","Other / Job search","","Job Posting Intelligence Engine - JSON Branch.md"
"Job Posting Intelligence Reporter","1.0.1","Other / Job search","","Job Posting Intelligence Reporter.md"
"Job Posting Snapshot & Preservation Engine - Major Platforms","UNKNOWN","Other / Job search","","Job Posting Snapshot & Preservation Engine - Major Platforms.md"
"Job Search Architect","1.3.1","Other / Job search","Interactive coach focused on the 2026 ""Precision Search"" playbook. It replaces high-volume effort with sharp positioning and proof-of-work.","Job Search Architect.md"
"Job posting red flag analyser","UNKNOWN","Other / Job search","Identify employment fraud, recruiter impersonation, company impersonation, malicious application Evaluate: Software identity, Publisher, Source, Purpose, Distribution mechanism, Required permissions, Whether the request is consistent with the role.","Job posting red flag analyser.md"
"Job-Application Tracker","5.0.3","Other / Job search","A conversational markdown-to-markdown document merger and search assistant. Parses messy, natural language updates into structured tables, tracks hidden job-search velocity, and counters search fatigue with tactical momentum logging.","Job-Application Tracker.md"
"LinkedIn Authority Signal Engine","UNKNOWN","LinkedIn optimizing","","LinkedIn Authority Signal Engine.md"
"LinkedIn Canonical Mirror Engine - JSON","1.9.1","LinkedIn optimizing","","LinkedIn Canonical Mirror Engine - JSON.md"
"LinkedIn Canonical Mirror Engine","1.6.3","LinkedIn optimizing","","LinkedIn Canonical Mirror Engine.md"
"LinkedIn Connection Request Note Generator","1.5.1","LinkedIn optimizing","","LinkedIn Connection Request Note Generator.md"
"LinkedIn Headhunter Tuning prompt","1.2.4","LinkedIn optimizing","","LinkedIn Headhunter Tuning prompt.md"
"LinkedIn Profile Imitation Analyser","1.2.1","LinkedIn optimizing","","LinkedIn Profile Imitation Analyser.md"
"LinkedIn Profile Positioning Interview","2.3.1","LinkedIn optimizing","","LinkedIn Profile Positioning Interview.md"
"LinkedIn Profile Surgeon","3.1.2","LinkedIn optimizing","","LinkedIn Profile Surgeon.md"
"LinkedIn Referral & Investigative Engine","UNKNOWN","LinkedIn optimizing","### 🎯 Purpose This tool bridges the gap between ""cold"" applying and ""warm"" referrals. Since AI cannot directly scrape or interact with LinkedIn's live database due to rate limits and bot defenses, this engine acts as a strategic co-pilot. It handles external ","LinkedIn Referral & Investigative Engine.md"
"LinkedIn Summary Crafting Prompt","UNKNOWN","LinkedIn optimizing","","LinkedIn Summary Crafting Prompt.md"
"LinkedIn ↔ Resume Conflict Checker","1.4.1","Resume tools","","LinkedIn ↔ Resume Conflict Checker.md"
"Market alignment intelligence engine","UNKNOWN","Other / Job search","============================================================ 3–8 near-misses, each with the Match Bar test that failed. Purpose: stop wasted applications.","Market alignment intelligence engine.md"
"Master Skills & Experience Summary Generator","2.3.0","Other / Job search","","Master Skills & Experience Summary Generator.md"
"Master_Summary_Maintenance_Engine","1.8.1","Other / Job search","is to audit, clean, reorganize, deduplicate (where safe), and maintain the single source-of-truth markdown file containing Scott M.'s resume STAR stories, skills matrix, full AI prompt library, and related professional content. 2.","Master_Summary_Maintenance_Engine.md"
"Mentor Recommendation Outreach Generator","1.5.0","Other / Job search","","Mentor Recommendation Outreach Generator.md"
"Network contacts Intelligence Engine","2.1.1","Other / Job search","Transform a raw list of contacts into a structured, prioritized, and actionable networking system, specifically identifying and qualifying professional and personal references.","Network contacts Intelligence Engine.md"
"OSINT JSON - Interview Prep Renderer","UNKNOWN","Interview prep","============================================================ Convert the structured intelligence from a Unified Posting Investigation Engine JSON report + the candidate’s background into a scannable, high-signal Markdown interview preparation brief.","OSINT JSON - Interview Prep Renderer.md"
"OSINT JSON - NotebookLM Source Pack Renderer","UNKNOWN","Other / Job search","· Formatted to maximize NotebookLM features (Audio Overview, Chat Grounding, Briefing Docs). · Strictly eliminates complex markdown styling that confuses NotebookLM parsing. ============================================================ PURPOSE =================","OSINT JSON - NotebookLM Source Pack Renderer.md"
"Opportunity Intelligence & Positioning Engine","UNKNOWN","Other / Job search","============================================================ Analyze a job posting for reality, viability, and hidden hiring intent. Detect ghost/compliance postings, assess competitiveness, and produce a clear strategy.","Opportunity Intelligence & Positioning Engine.md"
"Opportunity Recovery Intelligence Engine","UNKNOWN","Other / Job search","** Determine whether a blocked, rejected, or stalled job opportunity is realistically recoverable, and if so, identify the highest-probability path back into the hiring process.","Opportunity Recovery Intelligence Engine.md"
"OverWatch-1 The Nexus Blueprint Engine","2.0.2","Other / Job search","","OverWatch-1 The Nexus Blueprint Engine.md"
"OverWatch-3 Action Report Engine","1.11.0","Other / Job search","","OverWatch-3 Action Report Engine.md"
"Overqualification Narrative Architect","3.1.1","Other / Job search","Detect, quantify, and strategically neutralize perceived overqualification risk in job applications.","Overqualification Narrative Architect.md"
"Personal Interests & Background","UNKNOWN","Other / Job search","wording for fuller user picture; enhanced interview prompt with gentle follow-ups to draw out more detail on broad interests (e.g., science fiction subgenres, favorites, related activities) while staying non-invasive and safe. - 2026-02-26 – v1.0: Initial crea","Personal Interests & Background.md"
"Personal Labor Market Intelligence System","1.1.2","Other / Job search","============================================================ PLMIS is a longitudinal career analytics framework designed to transform a job search from an anecdotal process into a","Personal Labor Market Intelligence System.md"
"Position Targeting Matrix","1.0.1","Other / Job search","Established domain-agnostic design for cross-industry applicability - Introduced multi-layer outputs: Best-Fit, Adjacent, Stretch, Misaligned roles ## PURPOSE The Position Targeting Matrix (PTM) is a career profile analysis module that evaluates a professional","Position Targeting Matrix.md"
"Post-Interview Rapid Recall Engine","1.2.3","Interview prep","# VERSION: 1.2.3 # AUTHOR: Scott Malin, CISSP # LAST UPDATED: 2026-09-20 # PURPOSE: Capture high-fidelity interview insights immediately after completion, while details are still fresh. This prompt operates in a guided “interview mode” to quickly extract key s","Post-Interview Rapid Recall Engine.md"
"Post-Interview Signal & Follow-Up Engine","1.4.1","Interview prep","","Post-Interview Signal & Follow-Up Engine.md"
"Post-Interview Thank You Note Generator","2.1.2","Interview prep","** Enforce strict output formatting, state locking, hallucination checks, and error handling for post-interview thank-you note generation.","Post-Interview Thank You Note Generator.md"
"Pre-Day-One Positioning Engine","2.0.1","Other / Job search","Bridge the gap between ""Offer Signed"" and ""Day One."" Transform the user from a ""new hire"" into a high-impact contributor by mapping stakeholders, identifying early wins, navigating political risk, and executing a structured 30-day offensive strategy grounded i","Pre-Day-One Positioning Engine.md"
"Pre-Interview Intelligence Dossier","UNKNOWN","Interview prep","** Generate a highly objective, evidence-weighted corporate intelligence brief. This prompt is structurally protected against attention degradation, positive PR bias, and ungrounded inference loops.","Pre-Interview Intelligence Dossier.md"
"Pre-interview recruiter bridge prompt","UNKNOWN","Interview prep","STATEMENT** To generate three ""plaintalk"" email options for an HR/Staffing contact. These emails position the candidate as a ""safe bet"" by aligning past wins directly with the recruiter’s screening criteria and pre-empting common HR filters (salary, longevity,","Pre-interview recruiter bridge prompt.md"
"Proactive Interview Mastery Coach","1.5.1","Interview prep","** Transform standard interview preparation into a high-agency, strategic-partner approach. This prompt turns any LLM into an elite coach that: - Automatically detects and adapts to the specific interview format (behavioral, technical, case, leadership, etc.) ","Proactive Interview Mastery Coach.md"
"Professional Identity Discovery Engine","1.1.1","Other / Job search","The purpose of this tool is to help the user articulate an authentic professional identity.","Professional Identity Discovery Engine.md"
"Professional headshot conversion","1.0.3","Other / Job search","Transform a suitable user-provided photograph into a professional-looking headshot appropriate for the user's intended application.","Professional headshot conversion.md"
"Proof-of-Work Extractor – 3 Bullet Generator","1.9.2","Other / Job search","============================================================ Convert a resume, skills document, or user-described experiences into 3 concise, receipt-style bullets focused on provable problem-solving impact. Emphasizes measurable results, decision rationale, a","Proof-of-Work Extractor – 3 Bullet Generator.md"
"Quick Resume Scan Simulation","3.4.2","Resume tools","# Simulate a rapid human review of a resume from two distinct Purpose: Represents the information most likely to establish identity,","Quick Resume Scan Simulation.md"
"Recruiter Screening Interview Prep","2.2.5","Interview prep","Generate a lightweight, highly tactical interview preparation report specifically optimized for 15-to-20-minute recruiter screening calls. The focus is on clearing fatigue, hitting mandatory keywords, checking logistical boxes, and delivering a natural, confid","Recruiter Screening Interview Prep.md"
"Reference Auditor & Formatter","UNKNOWN","Other / Job search","","Reference Auditor & Formatter.md"
"Rejection Intelligence & Action Advisory Engine","UNKNOWN","Other / Job search","============================================================ The purpose of this engine is to analyze job rejection communications and determine whether any strategic, professional, networking, security, or follow-up actions are advisable.","Rejection Intelligence & Action Advisory Engine.md"
"Resume Customization Prompt – STRATEGIC INTEGRITY","UNKNOWN","Resume tools","STATEMENT ============================================================ This prompt acts as an automated resume optimization and alignment engine.","Resume Customization Prompt – STRATEGIC INTEGRITY.md"
"Resume Quality Reviewer – Green Flag Edition","UNKNOWN","Resume tools","","Resume Quality Reviewer – Green Flag Edition.md"
"Resume Redline 4.1 Prompt","4.5.0","Resume tools","","Resume Redline 4.1 Prompt.md"
"Resume Talent Network Audit","1.2.0","Resume tools","","Resume Talent Network Audit.md"
"Role-Based Market Skill Expansion Advisor","1.5.1","Other / Job search","","Role-Based Market Skill Expansion Advisor.md"
"Safe Offer Negotiation Assistant","3.1.1","Other / Job search","& CORE RULES ============================================================ Act as a high-precision, evidence-first strategist for evaluating job offers and preparing safe, practical compensation negotiations. SONEE informs decisions; it never decides for the us","Safe Offer Negotiation Assistant.md"
"Senior Positioning & Credibility Engine","1.2.1","Other / Job search","Calibrate strategic career positioning while strictly preventing scope inflation, fabricated authority, or unsupported projection.","Senior Positioning & Credibility Engine.md"
"Setting the table - pre-interview communication","UNKNOWN","Interview prep","This prompt generates high-impact, low-friction emails to send to hiring managers or technical leads 48 hours before an interview. The goal is to ""set the table"" by addressing specific market friction, proving domain expertise via [Spotlight] tags, and offerin","Setting the table - pre-interview communication.md"
"Skills-to-Resume Generator","1.0.2","Resume tools","Transform a user’s raw","Skills-to-Resume Generator.md"
"Strategic Conversation Opportunity Engine","1.1.3","Other / Job search","The Strategic Conversation Opportunity Engine (SCOE) prepares candidates for interviews by generating thoughtful, conversational discussion opportunities derived from the supplied job posting and, when available, the candidate's resume, Career Profile, and ver","Strategic Conversation Opportunity Engine.md"
"Strategic Integrity Resume Engine","UNKNOWN","Resume tools","statement; tightened Signal-to-Noise and Evidence rules; clarified output order; minor language modernization. - v3.28: Added Phase 5 (Searchability & Signal Audit) and Signal-to-Noise filtering.","Strategic Integrity Resume Engine.md"
"TECHNICAL INTERVIEW PRESSURE SIMULATOR","UNKNOWN","Interview prep","","TECHNICAL INTERVIEW PRESSURE SIMULATOR.md"
"Talent Portal Resume Optimization Engine","1.5.1","Resume tools","","Talent Portal Resume Optimization Engine.md"
"Target Employer Intelligence Engine","1.4.0","Other / Job search","· Initial release. ====================================================================== PURPOSE STATEMENT ====================================================================== The Target Employer Intelligence Engine (TEIE) identifies, analyzes, prioritizes,","Target Employer Intelligence Engine.md"
"Technical Career Architect","1.1.1","Other / Job search","Extract, audit, and refine professional STAR stories and career metrics from markdown files using a direct peer-to-peer interview flow. - v1.1.0: Added automated Audit Report phase (Percentage breakdown + Gap analysis). - v1.1.1: Added purpose statement, state","Technical Career Architect.md"
"Technology Depth Discovery Engine","1.1.1","Other / Job search","","Technology Depth Discovery Engine.md"
"The AI-Screener Logic-Gate","1.3.2","Other / Job search","# Align candidate responses with the evaluation logic of automated screening platforms","The AI-Screener Logic-Gate.md"
"The Day 0 Onboarding Strategist","1.7.1","Other / Job search","Transition from candidate to operational leader by turning prior experience into a 30-60-90 day execution strategy. includes conversation hooks for interviews.","The Day 0 Onboarding Strategist.md"
"The JD Tech Stack Recon & OSINT Prompt","UNKNOWN","Other / Job search","** Extract technical ""fingerprints"" and context clues from a JD to map a company's stack and identify potential hiring scams.","The JD Tech Stack Recon & OSINT Prompt.md"
"The T-chart alignment engine","UNKNOWN","Other / Job search","To perform a high-fidelity, dual-column mapping between a specific Job Description (JD) and a User’s Career History. This engine identifies ""Cost of Entry"" requirements, verifies evidence through a structured audit, and highlights critical gaps to ensure the r","The T-chart alignment engine.md"
"The Unified Posting Investigation Engine - JSON","UNKNOWN","Other / Job search","============================================================ Provide a single structured intelligence report in valid JSON format that preserves the analytical separation of: - Job legitimacy and OSINT validation","The Unified Posting Investigation Engine - JSON.md"
"The career landing page engine","4.0.3","Other / Job search","","The career landing page engine.md"
"The universal interview architect","4.0.0","Interview prep","STATEMENT Transform a job posting, resume, and pre-interview intelligence into a high-fidelity interview strategy focused on measurable impact, realistic storytelling, red flag detection, and interview readiness under real-world constraints.","The universal interview architect.md"
"Universal Job Fit Evaluation Prompt - API Call","1.7.9","Other / Job search","","Universal Job Fit Evaluation Prompt - API Call.md"
"Universal Job Fit Evaluation Prompt - Multiple postings","2.0.1","Other / Job search","","Universal Job Fit Evaluation Prompt - Multiple postings.md"
"Universal Job Fit Evaluation Prompt","1.8.0","Other / Job search","","Universal Job Fit Evaluation Prompt.md"
